[2024-06-08 18:11:28] info: 	z2m: Logging to console, file (filename: log.log)
[2024-06-08 18:16:53] info: 	z2m:mqtt: MQTT publish: topic '5gdrone/heart/zigbee2mqtt/0x001788010cd9261b', payload '{"battery":47,"illuminance":27758,"illuminance_lux":597,"linkquality":255,"occupancy":true,"occupancy_timeout":0}'
[2024-06-08 18:17:01] info: 	z2m:mqtt: MQTT publish: topic '5gdrone/heart/zigbee2mqtt/0x001788010cd9261b', payload '{"battery":47,"illuminance":27691,"illuminance_lux":587,"linkquality":255,"occupancy":true,"occupancy_timeout":0}'
[2024-06-08 18:17:03] info: 	z2m:mqtt: MQTT publish: topic '5gdrone/heart/zigbee2mqtt/0x001788010cd9261b', payload '{"battery":47,"illuminance":27691,"illuminance_lux":587,"linkquality":255,"occupancy":false,"occupancy_timeout":0}'
[2024-06-08 18:17:11] info: 	z2m:mqtt: MQTT publish: topic '5gdrone/heart/zigbee2mqtt/0x001788010cd9261b', payload '{"battery":47,"illuminance":27677,"illuminance_lux":586,"linkquality":255,"occupancy":false,"occupancy_timeout":0}'
[2024-06-08 18:17:33] error: 	zh:ezsp:ezsp: Connection attempt 1 error: Error: Error: No such device or address, cannot open /dev/ttyACM0
[2024-06-08 18:17:45] error: 	zh:ezsp:uart: --> Error: Error: {"sequence":1} after 4000ms
[2024-06-08 18:17:45] error: 	zh:ezsp:uart: -!- break waiting (1)
[2024-06-08 18:17:45] error: 	zh:ezsp:uart: Can't send DATA frame (0,1,0): 1800012800
[2024-06-08 18:20:34] info: 	z2m:mqtt: MQTT publish: topic '5gdrone/heart/zigbee2mqtt/bridge/state', payload 'offline'
[2024-06-08 18:20:34] info: 	z2m:mqtt: Disconnecting from MQTT server
[2024-06-08 18:20:34] info: 	z2m: Stopping zigbee-herdsman...
[2024-06-08 18:20:35] info: 	zh:controller: Wrote coordinator backup to '/app/data/coordinator_backup.json'
[2024-06-08 18:20:35] info: 	z2m: Stopped zigbee-herdsman
[2024-06-08 18:20:35] info: 	z2m: Stopped Zigbee2MQTT
